,,,,,,,
ID,กลุ่มประเภทเหตุเสีย,เหตุเสียจาก Scoms,อาการ,จุดที่ต้องเช็คจุดแรก,ขั้นตอนการตรวจแก้,ค่าปกติ,อุปกรณ์ที่ใช้ในการแก้ไข
U0001,Disconnect บ่อย,Disconnect บ่อย (หลุดบ่อย),ใช้ Lan แล้วยังหลุดบ่อย,"1. ตรวจสอบการเชื่อมต่อของสายว่าแน่นหรือไม่
2. ตรวจสอบค่า Power","- ใช้ Power Meter จิ้มวัดที่ปลายสาย Patch Cord
- ตัวเลขต้องนิ่ง ห้ามแกว่งเกิน +/- 0.5 dBm
- ถ้าแกว่ง: ให้ทำความสะอาดหัว Connector หรือ Splice ใหม่",ไม่เกิน เกิน +/- 0.5 dBm,"Power Meter, ปากกาเช็ดหัว"
,,,ใช้ Wi-Fi ได้บ้างไม่ได้บ้าง,ดูช่อง Channel ของตัว Wi-Fi ว่าชนไหม,"- ใช้แอป WiFi Analyzer เช็ค Channel ที่ว่าง
- 2.4GHz แนะนำ Fix Channel 1, 6 หรือ 11
- ถ้าลูกค้ามีอุปกรณ์รองรับ ให้แนะนำเกาะ 5GHz เสมอ",,WiFi Analyzer App
,,,ใช้งานได้ช้าง หน้าจอค้าง กระตุก,อุณหภูมิของอุปกรณ์และสถานที่ตั้งอุปกรณ์,"- ห้ามวาง Router ในตู้ทึบ หรือบนอุปกรณ์ไฟฟ้าอื่น
- เช็ค Adapter จ่ายไฟนิ่งหรือไม่",,
U0002,connect ไม่ได้,Connect ไม่ได้,ใช้งาน internet ไม่ได้,"1. ตรวจสอบประวัติการใช้งาน,การเชื่อมต่อหน้า NTSP
2. ตรวจสอบสถานะการเชื่อมต่อที่อุปกรณ์หน้างาน","กรณีที่หน้า NTSP ได้ IP แต่เวลาที่ได้ไม่ตรง หรือได้ IP ซ้อนกัน
- แนะนำลูกค้าปิด ONU ไว้ 5-10 นาทีเพื่อให้ session เก่าหลุด หรือติดต่อ NOC Radius เพื่อทำการเคลียร์ Session ที่ค้างในระบบ
กรณีที่หน้า NTSP ไม่ได้ IP
- ตรวจสอบไฟหน้า onu หากไฟ los ติดสีแดงหรือไฟ DSL ไม่ติด ให้ตรวจสอบ power ก่อน
- หากไฟติดครบทุกดวงหรือไฟ Internet ไม่ติด ให้เข้าหน้า setting ของ onu เพื่อดูการตั้งค่าว่าอยู่ครบหรือถูกแก้ไขหรือไม่",,ประสานงานโทรแจ้ง NOC Radius แก้ไขให้ลูกค้า
,,,ขึ้นหน้าจอ web protal,ตรวจสอบประวัติการเชื่อมต่อหน้า NTSP,"ตรวจสอบสถานะ Account ลูกค้าว่า Active หรือไม่
หากสถานะปกติ ให้เข้า หน้า ONU เพื่อตรวจสอบ Username & Password",,NTSP
U0003,Speed ตก,ความเร็วไม่ตรง / Speed ตก,Test ผ่าน Wi-Fi 2.4 G  ไม่ได้ความเร็วตามที่ขอ,ตรวจสอบ การเชื่อมต่อ WI-FI เป็น 2.4 G หรือไม่ ,"ตรวจสอบ Profile Speed ในระบบว่าตรงกับ Package ที่ลูกค้าขอใช้งานหรือไม่
เชื่อมต่อสาย LAN หลัง ONU ของ NT แล้วลอง Test Speed อีกครั้ง [การ Test Speed ผ่าน Wi-Fi 2.4GHz จะมีคอขวดที่ ~40-80Mbps]",LAN Cat5e/6 = 1Gbps,"Notebook, สาย LAN Cat5e/6"
,,,Test ความเร็ว ผ่านสาย LAN ไม่ได้ความเร็วตามที่ขอ,สภาพสาย LAN,"ตรวจสอบ Profile Speed ในระบบว่าตรงกับ Package ที่ลูกค้าขอใช้งานหรือไม่
ตรวจสภาพ และความเร็วของสาย LAN ที่ใช้งาน [ให้ Test ผ่านสาย LAN Cat5e หรือ Cat6 เท่านั้น]",LAN Cat5e/6 = 1Gbps,สาย LAN Cat5e/6 สำรอง
U0004,อื่นๆ,เหตุเสีย PON อื่นๆ,,,,,
U0005,อื่นๆ,เหตุเสีย ADSL อื่นๆ,,,,,
U0006,ไฟ Pon กระพริบ,ไฟ PON กระพริบ,ใช้ Internet ไม่ได้,ตรวจสอบค่า Power,"- วัดค่าแสงที่ปลายสาย หากต่ำกว่ามาตรฐานให้ไล่เช็คจุด Splice
- ขัดทำความสะอาดหัว Fast Connector หรือเข้าหัวใหม่
- หากค่าแสงปกติแต่ไฟยังกระพริบ ให้ติดต่อ บลนน. เช็คสถานะ Serial Number (SN) ของ ONU ในระบบ Management",,
,,,ONU ไม่ Register,ตรวจสอบค่า Power,"- ตรวจสอบสถานะไฟ ONU ว่าติดครบทุกดวงหรือไม่ หากไฟ internet ไม่ติด ให้บองตั้งค่า ONU ใหม่อีกครั้ง
- หากสถานะไฟ DSL ไม่ติด ตรวจสอบค่าแสงก่อน
- หากสถานะไฟ LOS ติดสีแดง ให้ตรวจสอบกับทาง บลนน. ว่ามีเหตุเสีย Optic หรือไม่",,
U0007,ไฟ Pon กระพริบ,ไฟ ADSL กระพริบ,,,,,
U0008,เปิดหน้า WEB ไม่ได้,เปิดหน้า Web ไม่ได้,เข้าเว็บไม่ได้ทุกเว็บ,"ให้ทดสอบ Ping DNS ว่าสามารถ Ping ได้หรือไม่
- กด start ที่มุมล่างด้านซ้ายมือของจอ
- ในช่อง search พิมพ์ cmd แล้วกด enter
- จะมีหน้าจอสีดำขึ้นมา ให้พิมพ์ ping แล้วตามด้วย IP DNS
ตัวอย่างเช่น ping 203.113.111.11 
ถ้า Reply from แปลว่า DNS ปกติ
ถ้า Request Time Out แปลว่า DNS มีปัญหา","- ลอง Fix DNS ใน Computer ให้เป็น Google DNS
(ขั้นตอนการ Fix DNS 
1. กดปุ่ม start
2. เลือก control panel
3. เลือก Network and Sharing Center
4. จะมีหน้าจอการแสดงผลที่มีการเชื่อมต่อ internet ของคอมพิวเตอร์นี้ ให้กดเลือก ตัวที่อยู่ด้านล่าง คำว่า Internet
5. จะมีหน้าจอเล็กๆขึ้นมาบอกรายละเอียดความเร็วของสาย Lan ให้กดปุ่ม Properties
6. จะมีหน้าจอเล็กๆขึ้นมาอีก 1 หน้าจอ ให้ดับเบิ้ลคลิกที่ คำว่า Internet protocal version 4 (TCP/IPv4)
7. จะมีหน้าจอเล็กๆขึ้นมาอีก 1 หน้าจอ ให้เลือกที่คำว่า Use the following DNS server address
8. .ใส่ตัวเลข DNS ที่ต้องการ Fix ลงในช่องด้านล่าง แล้วกด OK จึงเรียบร้อย )
- ลองใช้งาน Internet อีกครั้ง ถ้าสามารถใช้งานได้ ให้ติดต่อแจ้งกับทาง BRAs (DNS อาจจะมีปัญหา)
- หากยังไม่สามารถใช้งานได้ ให้ตรวจสอบการตั้งค่าใน ONU ถ้าการตั้งค่าถูกต้องลองตรวจสอบสถานะ Node กับทาง บลนน.",DNS: 8.8.8.8,
,,,เข้าเว็บบางเว็บไม่ได้,"- หากเว็บไซต์ดังกล่าวเป็นเว็บไซต์ที่อาจเข้าข่ายผิดกฎหมาย เว็บพนัน หรือเว็บที่มีเนื้อหาไม่เหมาะสม อาจมีการประกาศบล็อก URL จากกระทรวง DE
- หากไม่ใช่เว็บที่เข้าข่ายผิดกฎหมายให้ลองใช้สมาร์ทโฟน หรือแล็ปท็อปเครื่องอื่นที่เชื่อมต่อ Wi-Fi/LAN เดียวกันเข้าเว็บไซต์นั้น หากเครื่องอื่นเข้าได้ แสดงว่าเป็นปัญหาที่อุปกรณ์ของลูกค้า
- ให้ลองใช้เน็ตมือถือ (3GTOT/AIS/TRUE) 4G/5G เข้าเว็บนั้นดู หากเข้าไม่ได้เช่นกัน แปลว่าเป็นปัญหาที่เซิร์ฟเวอร์ของเว็บไซต์นั้น แต่หากเครือข่ายอื่นสามารถใช้งานได้ ต้องตรวจสอบการเชื่อมต่อ Internet ก่อน","1. ให้ทำการปิด Router ทิ้งไว้ประมาณ 3-5 นาทีแล้วเปิดใหม่ เพื่อให้ระบบของ NT จ่าย IP WAN ชุดใหม่มาให้ จากนั้นทดสอบเข้าเว็บไซต์อีกครั้ง
2. หากยังไม่สามารถเข้าใช้งานได้ ให้ทดสอบเปลี่ยน DNS เป็นของ Google โดยเข้าไปตั้งค่าที่การ์ดแลน (Network Adapter) ของคอมพิวเตอร์ลูกค้าให้ใช้ Public DNS เช่น Google (8.8.8.8, 8.8.4.4) หากเปลี่ยน DNS แล้วเข้าเว็บได้ทันที แสดงว่าเป็นปัญหาที่ DNS ของ NT ให้ช่างแจ้งทีมส่วนกลาง (BRAs) เพื่อตรวจสอบและอัปเดต DNS
3. หากเปลี่ยน DNS และเปลี่ยน IP แล้วยังเข้าไม่ได้ ปัญหาอาจเกิดจากเส้นทางออกอินเทอร์เน็ต ช่างต้องใช้คำสั่ง tracert เพื่อดูว่าข้อมูลไปตกหล่นที่จุดใด โดยการเปิด Command Prompt แล้วพิมพ์ tracert ตามด้วยชื่อเว็บไซต์(วิธีอ่านค่าเบื้องต้น 
- ขาดที่ Hop แรกๆ (10.x.x.x / 172.x.x.x): ปัญหาอยู่ในโครงข่ายภายในของ NT เอง
- ขาดที่ Hop กลางๆ (IP ที่ระบุว่าเป็น Gateway หรือ IIG): ปัญหาอยู่ที่ลิงก์เชื่อมต่อระหว่างประเทศของ NT อาจมีปัญหาชั่วคราว ให้แจ้ง BRAs
- ถ้าสามารถ Tracert ไปจนถึง Hop ท้ายๆ แต่เกิดเป็น Request timed out ปลายทาง คาดว่าเซิร์ฟเวอร์ปลายทางอาจจงใจตั้งค่าบล็อก IP ของเครือข่าย NT)
4. หากปัญหาเกิดจาก Routing (ข้อ 3) ช่างหน้างานจะไม่สามารถแก้ไขเองได้ จำเป็นต้องรวบรวมข้อมูลส่งต่อให้ทีม BRAs ของ NT ดำเนินการต่อ ข้อมูลที่ช่างต้องเตรียมส่งมีดังนี้ หมายเลขวงจร , URL ของเว็บไซต์ที่มีปัญหา , ผลลัพธ์ของคำสั่ง ping และ tracert ไปที่ WEBSITE จากบ้านลูกค้า",,
,,,เข้าเว็บไม่ได้แค่เว็บเดียว,"- หากเว็บไซต์ดังกล่าวเป็นเว็บไซต์ที่อาจเข้าข่ายผิดกฎหมาย เว็บพนัน หรือเว็บที่มีเนื้อหาไม่เหมาะสม อาจมีการประกาศบล็อก URL จากกระทรวง DE
- หากไม่ใช่เว็บที่เข้าข่ายผิดกฎหมายให้ลองใช้สมาร์ทโฟน หรือแล็ปท็อปเครื่องอื่นที่เชื่อมต่อ Wi-Fi/LAN เดียวกันเข้าเว็บไซต์นั้น หากเครื่องอื่นเข้าได้ แสดงว่าเป็นปัญหาที่อุปกรณ์ของลูกค้า
- ให้ลองใช้เน็ตมือถือ (3GTOT/AIS/TRUE) 4G/5G เข้าเว็บนั้นดู หากเข้าไม่ได้เช่นกัน แปลว่าเป็นปัญหาที่เซิร์ฟเวอร์ของเว็บไซต์นั้น แต่หากเครือข่ายอื่นสามารถใช้งานได้ ต้องตรวจสอบการเชื่อมต่อ Internet ก่อน","1. ให้ทำการปิด Router ทิ้งไว้ประมาณ 3-5 นาทีแล้วเปิดใหม่ เพื่อให้ระบบของ NT จ่าย IP WAN ชุดใหม่มาให้ จากนั้นทดสอบเข้าเว็บไซต์อีกครั้ง
2. หากยังไม่สามารถเข้าใช้งานได้ ให้ทดสอบเปลี่ยน DNS เป็นของ Google โดยเข้าไปตั้งค่าที่การ์ดแลน (Network Adapter) ของคอมพิวเตอร์ลูกค้าให้ใช้ Public DNS เช่น Google (8.8.8.8, 8.8.4.4) หากเปลี่ยน DNS แล้วเข้าเว็บได้ทันที แสดงว่าเป็นปัญหาที่ DNS ของ NT ให้ช่างแจ้งทีมส่วนกลาง (BRAs) เพื่อตรวจสอบและอัปเดต DNS
3. หากเปลี่ยน DNS และเปลี่ยน IP แล้วยังเข้าไม่ได้ ปัญหาอาจเกิดจากเส้นทางออกอินเทอร์เน็ต ช่างต้องใช้คำสั่ง tracert เพื่อดูว่าข้อมูลไปตกหล่นที่จุดใด โดยการเปิด Command Prompt แล้วพิมพ์ tracert ตามด้วยชื่อเว็บไซต์(วิธีอ่านค่าเบื้องต้น 
- ขาดที่ Hop แรกๆ (10.x.x.x / 172.x.x.x): ปัญหาอยู่ในโครงข่ายภายในของ NT เอง
- ขาดที่ Hop กลางๆ (IP ที่ระบุว่าเป็น Gateway หรือ IIG): ปัญหาอยู่ที่ลิงก์เชื่อมต่อระหว่างประเทศของ NT อาจมีปัญหาชั่วคราว ให้แจ้ง BRAs
- ถ้าสามารถ Tracert ไปจนถึง Hop ท้ายๆ แต่เกิดเป็น Request timed out ปลายทาง คาดว่าเซิร์ฟเวอร์ปลายทางอาจจงใจตั้งค่าบล็อก IP ของเครือข่าย NT)
4. หากปัญหาเกิดจาก Routing (ข้อ 3) ช่างหน้างานจะไม่สามารถแก้ไขเองได้ จำเป็นต้องรวบรวมข้อมูลส่งต่อให้ทีม BRAs ของ NT ดำเนินการต่อ ข้อมูลที่ช่างต้องเตรียมส่งมีดังนี้ หมายเลขวงจร , URL ของเว็บไซต์ที่มีปัญหา , ผลลัพธ์ของคำสั่ง ping และ tracert ไปที่ WEBSITE จากบ้านลูกค้า",,
U0009,รับ-ส่ง Mail ไม่ได้,รับ-ส่ง Mail ไม่ได้,เล่นเน็ตได้ แต่ส่ง Email ไม่ผ่าน (Outlook),"เข้า Program Micsoft Outlook แล้วสังเกตแถบสถานะด้านล่างขวา ต้องขึ้นคำว่า ""Connected"" หรือ ""Connected to: Microsoft Exchange"" หากขึ้นคำว่า ""Disconnected"" หรือ ""Working Offline"" แสดงว่ายังไม่เชื่อมต่อเซิร์ฟเวอร์","1. ให้ลูกค้าลองกด Send/Receive หาก ""รับ"" อีเมลใหม่ได้ตามปกติ แต่ ""ส่ง"" ไม่ออก แสดงว่ารหัสผ่านและเซิร์ฟเวอร์ขาเข้า (POP3/IMAP) ถูกต้องแล้ว ปัญหาอยู่ที่ขาออก (SMTP) เท่านั้น
2. ให้ลูกค้าลองเข้าใช้งานอีเมลผ่านหน้าเว็บไซต์ เช่น G-Mail หากส่งผ่านเว็บได้ปกติ แปลว่าปัญหาอยู่ที่การตั้งค่าโปรแกรม Outlook ในเครื่องคอมพิวเตอร์
3. ลองให้คอมพิวเตอร์ลูกค้าเชื่อมต่อ Wi-Fi จาก Hotspot มือถือ (ค่ายอื่น) แล้วกดส่ง หากส่งออก แปลว่าอาจมีการบล็อก Port หรือ IP ของฝั่ง NT ติด Blacklist",,
,,,เล่นเน็ตได้ แต่รับ Email ไม่ได้ (Outlook),"เข้า Program Micsoft Outlook แล้วสังเกตแถบสถานะด้านล่างขวา ต้องขึ้นคำว่า ""Connected"" หรือ ""Connected to: Microsoft Exchange"" หากขึ้นคำว่า ""Disconnected"" หรือ ""Working Offline"" แสดงว่ายังไม่เชื่อมต่อเซิร์ฟเวอร์","1. เข้าสู่หน้าการตั้งค่า ไปที่ File > Account Settings > Account Settings ดับเบิลคลิกที่ชื่ออีเมลที่มีปัญหา
2. ตรวจสอบ Incoming Mail Server ชื่อเซิร์ฟเวอร์รับเมล (เช่น imap.gmail.com, mail.domain.com) สะกดถูกต้องหรือไม่
3. ตรวจสอบ Port และการเข้ารหัส คลิกที่ปุ่ม More Settings  > ไปที่แท็บ Advanced ตรวจสอบค่า Incoming server ให้ตรงกับประเภทของบัญชี ดังนี
    - IMAP: พอร์ต 993 (ใช้การเข้ารหัส SSL/TLS) หรือพอร์ต 143 (ไม่มีการเข้ารหัส / STARTTLS)
    - POP3: พอร์ต 995 (ใช้การเข้ารหัส SSL/TLS) หรือพอร์ต 110 (ไม่มีการเข้ารหัส)
4. กดปุ่ม Test Account Settings หากขึ้นเครื่องหมายถูกที่ Log onto incoming mail server แสดงว่าฝั่งรับปกติ หากขึ้นกากบาท ให้จด Error Code ไว้เพื่อส่งต่อให้ทาง BRAs วิเคราะห์เพิ่มเติม",,
U0010,connect ไม่ได้,ไฟ Internet ไม่ติด,เข้าใช้งาน Internet ไม่ได้,"1. ตรวจสอบประวัติการใช้งาน,การเชื่อมต่อหน้า NTSP
2. ตรวจสอบสถานะการเชื่อมต่อที่อุปกรณ์หน้างาน","กรณีที่หน้า NTSP ได้ IP แต่เวลาที่ได้ไม่ตรง หรือได้ IP ซ้อนกัน
- แนะนำลูกค้าปิด ONU ไว้ 5-10 นาทีเพื่อให้ session เก่าหลุด หรือติดต่อ NOC Radius เพื่อทำการเคลียร์ Session ที่ค้างในระบบ
กรณีที่หน้า NTSP ไม่ได้ IP
- ตรวจสอบไฟหน้า onu หากไฟ los ติดสีแดงหรือไฟ DSL ไม่ติด ให้ตรวจสอบ power ก่อน
- หากไฟติดครบทุกดวงหรือไฟ Internet ไม่ติด ให้เข้าหน้า setting ของ onu เพื่อดูการตั้งค่าว่าอยู่ครบหรือถูกแก้ไขหรือไม่",,
U0011,IP-Phone,Net ได้ IP Phone ไม่ได้,โทรศัพท์ โทร เข้า ออกไม่ได้,ตรวจสอบ สถานะ port tel ที่ ONU  (ถ้า  tel กระพริบ),"1. ดึง และ เสียบใหม่ สาย RJ 11 ที่ต่อเข้าหัวเครื่องโทรศัพท์   
2. ตรวจสอบค่า Config ที่ ONU 
3.ตรวจสอบ สถานะ IPPHONE  Regis หรือไม่ จากเว็บ NTSP ",,
